label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,160,1,1,16,4.008621780036165,28,6,16,60,3,1,0,1,2
1,74,0,1,16,4.008621780036166,28,6,0,0,0,0,0,0,0
1,160,1,1,16,4.008621780036166,28,6,16,60,3,1,0,1,2
1,289,0,1,16,5.8024568777772965,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.842147163610423,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.762643824111834,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.7754809248474865,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.756220423213302,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.762954785608219,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.838467397569565,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.8109635602670915,243,11,0,0,0,0,0,0,0
1,288,0,1,16,5.818818626718979,242,11,0,0,0,0,0,0,0
1,288,0,1,16,5.746253662507533,242,11,0,0,0,0,0,0,0
1,289,0,1,16,5.7921366117005055,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8219562633580955,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.803915112686274,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.791613840644981,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.822194056350486,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7145780558821535,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.782693171161722,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8575193488305315,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.836717898185908,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.816736230532447,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.818468667196041,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.828714073074971,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.809263457392753,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.730447802906098,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.800961545631326,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.824429722429004,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.812861164600042,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.806016591776715,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.715608359317179,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.787767771250695,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.800780833474665,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.738935309533758,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.7842286492058115,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.763080270666354,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.788815148921245,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.773981062446223,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.782450033956716,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.804398330312046,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.721338803152655,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.816032197922721,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.834569261303985,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.834565772174537,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.771096293348632,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.801133037352496,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.755115072992864,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.804058284423319,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.835851494413306,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.822064044612478,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.715370566324787,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.804818860774212,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.817738213983342,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.804638384304068,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.818506814114294,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.8389733772255905,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.838967787148885,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7582639297538565,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.703593888595543,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.719234386508589,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.827389336679303,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.796082906494847,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.757161496560691,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.752734650731664,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8398153531141315,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7112091569182875,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.81208283745963,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.831767632026629,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.785835522881797,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.770610138169242,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.76910135781613,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.826095181267389,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.773185037914967,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8228694540405685,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.793491033491263,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.844936379495242,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.703696818045869,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.836472513134763,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.845991709842279,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.838933648670916,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.776914853398536,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.810388382083125,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8471166345326475,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.802257962042867,244,11,0,0,0,0,0,0,0
1,288,0,1,16,5.814758803615996,242,11,0,0,0,0,0,0,0
1,290,0,1,16,5.79145359467241,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.762376788678655,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.784322001821001,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8608248840768,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.803449188004452,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7938607524720975,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.792881937072397,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7815794922199535,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.797735818404505,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.846849845002137,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.845067273411202,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.828579209532908,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.804475877331863,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.820734535964867,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.734503580995161,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.789805210069548,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.76204437443092,244,11,0,0,0,0,0,0,0
1,291,0,1,16,5.765076448510487,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.76306077738709,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.740808048434614,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.761202446400015,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.739585879736018,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.8210300627049625,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.831749578791732,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.775411423921262,245,11,0,0,0,0,0,0,0
1,289,0,1,16,5.776196560202454,243,11,0,0,0,0,0,0,0
1,291,0,1,16,5.787473342804089,245,11,0,0,0,0,0,0,0
